playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Session massage tantrique (100 titres),1,2,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Session massage tantrique (100 titres),1,2,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Session massage tantrique (100 titres),2,2,2118908,Little Man,Sia,Healing Is Difficult (10th Anniversary Edition),364
Session massage tantrique (100 titres),2,2,2307322,Little Man,Sia,Healing Is Difficult,364
Session massage tantrique (100 titres),3,2,2055919,Meditation III,Sufjan Stevens,Convocations,244
Session massage tantrique (100 titres),3,2,2164118,Meditation III,Sufjan Stevens,Convocations,244
Session massage tantrique (100 titres),4,2,2183694,"Lemminkainen Suite, Op. 22: II. The Swan of Tuonela","Christine Pendrill, Geoffrey Simon & Philharmonia Orchestra",Midnight Lounge - Chill Out Classics and Meditation,545
Session massage tantrique (100 titres),4,2,1973416,"Lemminkainen Suite, Op. 22: Ii. the Swan of Tuonela","Christine Pendrill, Geoffrey Simon & Philharmonia Orchestra",Midnight Lounge - Chill Out Classics and Meditation,545
Session massage tantrique (100 titres),5,2,2098538,Naked City,Frank Zappa,Everything Is Healing Nicely,522
Session massage tantrique (100 titres),5,2,2165502,Naked City,Frank Zappa,Everything Is Healing Nicely,522
Session massage tantrique (100 titres),6,2,1960043,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Session massage tantrique (100 titres),6,2,2198573,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Session massage tantrique (100 titres),7,2,2174978,Holographic Warfare,Synth.J,cyberpunk ambient music,334
Session massage tantrique (100 titres),7,2,2244979,Holographic Warfare,Synth.J,cyberpunk ambient music,334
Session massage tantrique (100 titres),8,2,1941508,Let The Healing Begin,JOE COCKER,Gold,313
Session massage tantrique (100 titres),8,2,2289882,Let the Healing Begin,JOE COCKER,Best Blues Ballads,311
Session massage tantrique (100 titres),9,2,2344192,Healing Waters,Starship,the complete albums 1985-1989,297
Session massage tantrique (100 titres),9,2,2344222,Healing Waters,Starship,love among the cannibals,297
Session massage tantrique (100 titres),10,2,2220651,Meditation Dub,Boy George,"This Is What I Dub, Volume 1",285
Session massage tantrique (100 titres),10,2,2240671,Meditation Dub,Boy George,"This Is What I Dub, Volume 1",285
Session massage tantrique (100 titres),11,2,2221086,Slow Jam,Usher,My Way,283
Session massage tantrique (100 titres),11,2,2240982,Slow Jam,Usher,My Way,283
Session massage tantrique (100 titres),12,2,2110941,Healing,Fakear,Hypertalisman,235
Session massage tantrique (100 titres),12,2,2166878,Healing,Fakear,Hypertalisman,235
Session massage tantrique (100 titres),13,2,2045950,Y Yo Sigo Aqui Paulina Rubio,Dr. Sound Effects,"Gentle Rain Nature Sounds for Meditation, Relaxation and Sleep",235
Session massage tantrique (100 titres),13,2,2045952,Y Yo Sigo Aqui - Paulina Rubio,Dr. Sound Effects,"Gentle Rain - Nature Sounds for Meditation, Relaxation and Sleep",235
Session massage tantrique (100 titres),14,2,2086204,Bella y Sensual,"Romeo Santos, Daddy Yankee & Nicky Jam",Golden,204
Session massage tantrique (100 titres),14,2,2197709,Bella y sensual,"Romeo Santos, Daddy Yankee & Nicky Jam",Golden,204
Session massage tantrique (100 titres),15,2,2321046,Bella y sensual,Romeo Santos feat. Nicky Jam & Daddy Yankee,[Unknown Album],204
Session massage tantrique (100 titres),15,2,1346620,Bella y sensual,Romeo Santos feat. Nicky Jam & Daddy Yankee,Golden,204
