playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Travail & Focus (500 titres),1,2,1280039,The Chase,Laidback Luke,Focus,255
Travail & Focus (500 titres),1,2,1947141,The Chase,Laidback Luke,Focus,256
Travail & Focus (500 titres),2,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Travail & Focus (500 titres),2,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Travail & Focus (500 titres),3,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Travail & Focus (500 titres),3,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Travail & Focus (500 titres),3,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Travail & Focus (500 titres),4,2,2056319,All in a Day’s Work,The Posies,Every Kind Of Light,260
Travail & Focus (500 titres),4,2,2311264,All in A Day’S Work,The Posies,Every Kind of Light,260
Travail & Focus (500 titres),5,2,2008486,Eyes on Fire (Re-Recorded),Blue Foundation,"Eyes on Fire (Re-Work, Remix & Instrumentals)",298
Travail & Focus (500 titres),5,2,2113072,Eyes on Fire (Re-Recorded),Blue Foundation,"Eyes on Fire (Re-Work, Remix & Instrumentals)",298
Travail & Focus (500 titres),6,2,2058608,I know it won’t work,Gracie Abrams,Good Riddance (Deluxe),245
Travail & Focus (500 titres),6,2,2173587,I know it won’t work,Gracie Abrams,Good Riddance (Deluxe),245
Travail & Focus (500 titres),7,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Travail & Focus (500 titres),7,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Travail & Focus (500 titres),8,2,2058725,Work That,Mary J. Blige,Growing Pains,210
Travail & Focus (500 titres),8,2,2169947,Work That,Mary J. Blige,Growing Pains,210
Travail & Focus (500 titres),9,2,1890087,Work With My Love (Tabata Version 128 BPM),Power Music Workout,"BURN - 25 HIIT Tracks, Vol. 16",251
Travail & Focus (500 titres),9,2,1988780,Work With My Love (Tabata Version 128 BPM),Power Music Workout,"BURN - 25 HIIT Tracks, Vol. 16",251
Travail & Focus (500 titres),10,2,1949874,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
Travail & Focus (500 titres),10,2,2337299,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
Travail & Focus (500 titres),11,4,2177021,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Travail & Focus (500 titres),11,4,2219553,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Travail & Focus (500 titres),11,4,2271758,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Travail & Focus (500 titres),11,4,2304127,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Travail & Focus (500 titres),12,3,2177022,06 Instrumental #2,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",150
Travail & Focus (500 titres),12,3,2219554,06 Instrumental #2,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",150
Travail & Focus (500 titres),12,3,2304128,06 Instrumental #2,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",150
Travail & Focus (500 titres),13,2,1209475,128 BPM,Workout Music Tv,40 Tabata Best Party Hits 2024 For Fitness & Workout (20 Sec. Work and 10 Sec. Rest Cycles With Vocal Cues / High Intensity Interval Training Compilation,255
Travail & Focus (500 titres),13,2,2111359,128 BPM,Workout Music Tv,40 Tabata Best Party Hits 2024 For Fitness & Workout (20 Sec. Work and 10 Sec. Rest Cycles With Vocal Cues / High Intensity Interval Training Compilation,255
Travail & Focus (500 titres),14,4,2216581,80s Fury (Instrumental),Faf Larage & Damiani,"Larage & Damiani Extended Play, Vol. 2",280
Travail & Focus (500 titres),14,4,2261745,80s Fury (Instrumental),Faf Larage & Damiani,"Larage & Damiani Extended Play, Vol. 2",280
Travail & Focus (500 titres),14,4,2302905,80s Fury (Instrumental),Faf Larage & Damiani,"Larage & Damiani Extended Play, Vol. 2",280
Travail & Focus (500 titres),14,4,2330539,80s Fury (Instrumental),Faf Larage & Damiani,"Larage & Damiani Extended Play, Vol. 2",280
Travail & Focus (500 titres),15,2,1280061,A Summer Afternoon,Stan Getz,Focus,360
Travail & Focus (500 titres),15,2,1494882,A Summer Afternoon,Stan Getz,Focus,360
Travail & Focus (500 titres),16,2,1893661,"Act 2, Scene 7: The Bombing, Gonna Make It Work",Blaze,25 Years Later,405
Travail & Focus (500 titres),16,2,2281925,"Act 2, Scene 7: the Bombing, Gonna Make It Work",Blaze,25 Years Later,405
Travail & Focus (500 titres),17,2,2198783,After Midnight (Instrumental),KLYMVX,After Midnight (Remixes) [EP],176
Travail & Focus (500 titres),17,2,2260657,After Midnight (Instrumental),KLYMVX,After Midnight (Remixes) [EP],176
