playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Dark & Intense (500 titres),1,10,2199319,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2086392,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2261004,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2278972,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2283555,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2283557,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2283559,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2336715,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2336717,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),1,10,2336719,After Dark,Seven Lions,Start Again,229
Dark & Intense (500 titres),2,2,2097878,In the Dark,Flyleaf,Memento Mori,226
Dark & Intense (500 titres),2,2,2178398,In the Dark,Flyleaf,Memento Mori,226
Dark & Intense (500 titres),3,8,1682188,L'Aigle noir (dédié à Laurence),Barbara,L'Aigle noir,298
Dark & Intense (500 titres),3,8,1627351,L'Aigle noir dédié à Laurence,Barbara,L'Aigle noir  (single),296
Dark & Intense (500 titres),3,8,2347196,"L'aigle Noir ""Dédié À Laurence""",Barbara,l'aigle noir  (single),296
Dark & Intense (500 titres),3,8,2347200,L'aigle Noir (Dédié a Laurence),Barbara,l'aigle noir&la fleur d'amour,296
Dark & Intense (500 titres),3,8,2342193,L’Aigle Noir (Dédié À Laurence),Barbara,l’aigle noir,296
Dark & Intense (500 titres),3,8,2342194,L’Aigle Noir (Dédié À Laurence),Barbara,l’aigle noir,296
Dark & Intense (500 titres),3,8,1485587,L’Aigle noir (dédié à Laurence),Barbara,L’Aigle noir,296
Dark & Intense (500 titres),3,8,1485589,L’Aigle noir (dédié à Laurence),Barbara,Unknown Album,296
Dark & Intense (500 titres),4,2,1834205,L'aigle noir,Barbara,L'Aigle Noir,298
Dark & Intense (500 titres),4,2,2131354,L’Aigle noir,Barbara,L'Aigle noir,296
Dark & Intense (500 titres),5,2,1261410,Profits of Doom,Clutch,Blast Tyrant (Deluxe Edition),192
Dark & Intense (500 titres),5,2,1872218,Profits of Doom,Clutch,Blast Tyrant,192
Dark & Intense (500 titres),6,2,2057668,The Poet and the Pendulum,Nightwish,Dark Passion Play,834
