playlist,total_tracks,duplicate_items,report_path
Acoustique (500 titres),500,485,/app/playlists/reports/Acoustique_500_titres_duplicates.csv
After Party (500 titres),500,477,/app/playlists/reports/After_Party_500_titres_duplicates.csv
Afterwork chill (120 titres),120,101,/app/playlists/reports/Afterwork_chill_120_titres_duplicates.csv
Albums pépites (99 titres),99,79,/app/playlists/reports/Albums_ppites_99_titres_duplicates.csv
Ambient & Drone (279 titres),279,201,/app/playlists/reports/Ambient__Drone_279_titres_duplicates.csv
Anniversaire (331 titres),331,204,/app/playlists/reports/Anniversaire_331_titres_duplicates.csv
Apéro Chill (500 titres),500,425,/app/playlists/reports/Apro_Chill_500_titres_duplicates.csv
Automne Doré (500 titres),500,418,/app/playlists/reports/Automne_Dor_500_titres_duplicates.csv
Bandes Originales (500 titres),500,145,/app/playlists/reports/Bandes_Originales_500_titres_duplicates.csv
Before going out (100 titres),100,60,/app/playlists/reports/Before_going_out_100_titres_duplicates.csv
Brunch & Repas (500 titres),500,431,/app/playlists/reports/Brunch__Repas_500_titres_duplicates.csv
Brunch weekend (100 titres),100,65,/app/playlists/reports/Brunch_weekend_100_titres_duplicates.csv
Bureau sans stress (120 titres),120,50,/app/playlists/reports/Bureau_sans_stress_120_titres_duplicates.csv
Chanson Française (395 titres),395,205,/app/playlists/reports/Chanson_Franaise_395_titres_duplicates.csv
Chill & Relax (500 titres),500,355,/app/playlists/reports/Chill__Relax_500_titres_duplicates.csv
Christmas & Fêtes (500 titres),500,322,/app/playlists/reports/Christmas__Ftes_500_titres_duplicates.csv
Classical & Orchestre (500 titres),500,358,/app/playlists/reports/Classical__Orchestre_500_titres_duplicates.csv
Conduite Auto (500 titres),500,327,/app/playlists/reports/Conduite_Auto_500_titres_duplicates.csv
Country & Folk (500 titres),500,213,/app/playlists/reports/Country__Folk_500_titres_duplicates.csv
Covers & Reprises (500 titres),500,191,/app/playlists/reports/Covers__Reprises_500_titres_duplicates.csv
Crépuscule (500 titres),500,248,/app/playlists/reports/Crpuscule_500_titres_duplicates.csv
Cuisine & Recette (500 titres),500,209,/app/playlists/reports/Cuisine__Recette_500_titres_duplicates.csv
Cuisine en rythme (82 titres),82,50,/app/playlists/reports/Cuisine_en_rythme_82_titres_duplicates.csv
Daily mix chill (120 titres),120,64,/app/playlists/reports/Daily_mix_chill_120_titres_duplicates.csv
Daily mix energie (120 titres),120,72,/app/playlists/reports/Daily_mix_energie_120_titres_duplicates.csv
Daily mix night drive (120 titres),120,36,/app/playlists/reports/Daily_mix_night_drive_120_titres_duplicates.csv
Dancefloor rétro (29 titres),29,13,/app/playlists/reports/Dancefloor_rtro_29_titres_duplicates.csv
Dark & Intense (500 titres),500,303,/app/playlists/reports/Dark__Intense_500_titres_duplicates.csv
Deep cuts favoris (100 titres),100,50,/app/playlists/reports/Deep_cuts_favoris_100_titres_duplicates.csv
Deep work sans parole (140 titres),140,33,/app/playlists/reports/Deep_work_sans_parole_140_titres_duplicates.csv
Dimanche reset (120 titres),120,44,/app/playlists/reports/Dimanche_reset_120_titres_duplicates.csv
Diner romantique (100 titres),100,60,/app/playlists/reports/Diner_romantique_100_titres_duplicates.csv
Diversité intelligente (120 titres),120,42,/app/playlists/reports/Diversit_intelligente_120_titres_duplicates.csv
Douche énergique (80 titres),80,59,/app/playlists/reports/Douche_nergique_80_titres_duplicates.csv
Dreamy & Éthéré (500 titres),500,300,/app/playlists/reports/Dreamy__thr_500_titres_duplicates.csv
Découvertes (2) (6 titres),6,0,/app/playlists/reports/Dcouvertes_2_6_titres_duplicates.csv
Découvertes de la semaine (118 titres),118,49,/app/playlists/reports/Dcouvertes_de_la_semaine_118_titres_duplicates.csv
Electronic & Techno (500 titres),500,210,/app/playlists/reports/Electronic__Techno_500_titres_duplicates.csv
Evasion urbaine (120 titres),120,28,/app/playlists/reports/Evasion_urbaine_120_titres_duplicates.csv
Funk & Disco (5015 titres),5015,2520,/app/playlists/reports/Funk__Disco_5015_titres_duplicates.csv
Funk & Soul (500 titres),500,242,/app/playlists/reports/Funk__Soul_500_titres_duplicates.csv
Fête (107 titres),107,60,/app/playlists/reports/Fte_107_titres_duplicates.csv
Gaming Session (500 titres),500,212,/app/playlists/reports/Gaming_Session_500_titres_duplicates.csv
Gaming focus (130 titres),130,40,/app/playlists/reports/Gaming_focus_130_titres_duplicates.csv
Golden hour (32 titres),32,21,/app/playlists/reports/Golden_hour_32_titres_duplicates.csv
Guilty Pleasures (798 titres),798,383,/app/playlists/reports/Guilty_Pleasures_798_titres_duplicates.csv
Génération Top 50 (7918 titres),7918,4031,/app/playlists/reports/Gnration_Top_50_7918_titres_duplicates.csv
Génériques TV/Films (500 titres),500,182,/app/playlists/reports/Gnriques_TVFilms_500_titres_duplicates.csv
Hard Rock & Metal (378 titres),378,122,/app/playlists/reports/Hard_Rock__Metal_378_titres_duplicates.csv
Hits sans pause (140 titres),140,74,/app/playlists/reports/Hits_sans_pause_140_titres_duplicates.csv
Hiver & Cocooning (500 titres),500,163,/app/playlists/reports/Hiver__Cocooning_500_titres_duplicates.csv
Indie & Alternatif (179 titres),179,42,/app/playlists/reports/Indie__Alternatif_179_titres_duplicates.csv
Instrumentaux (500 titres),500,124,/app/playlists/reports/Instrumentaux_500_titres_duplicates.csv
International essentiels (34 titres),34,17,/app/playlists/reports/International_essentiels_34_titres_duplicates.csv
Jazz & Blues (500 titres),500,314,/app/playlists/reports/Jazz__Blues_500_titres_duplicates.csv
Joie & Bonheur (500 titres),500,188,/app/playlists/reports/Joie__Bonheur_500_titres_duplicates.csv
K-Pop & J-Pop (67 titres),67,33,/app/playlists/reports/K-Pop__J-Pop_67_titres_duplicates.csv
Karaoke entre amis (120 titres),120,82,/app/playlists/reports/Karaoke_entre_amis_120_titres_duplicates.csv
Karaoké (214 titres),214,64,/app/playlists/reports/Karaok_214_titres_duplicates.csv
Late night electronic (110 titres),110,30,/app/playlists/reports/Late_night_electronic_110_titres_duplicates.csv
Latin Vibes (500 titres),500,179,/app/playlists/reports/Latin_Vibes_500_titres_duplicates.csv
Lecture & Détente (500 titres),500,223,/app/playlists/reports/Lecture__Dtente_500_titres_duplicates.csv
Lecture & focus (75 titres),75,20,/app/playlists/reports/Lecture__focus_75_titres_duplicates.csv
Liked Songs (Loved Tracks) (1267 titres),1267,4,/app/playlists/reports/Liked_Songs_Loved_Tracks_1267_titres_duplicates.csv
Live & Concerts (500 titres),500,196,/app/playlists/reports/Live__Concerts_500_titres_duplicates.csv
Marche active (120 titres),120,74,/app/playlists/reports/Marche_active_120_titres_duplicates.csv
Mariage (110 titres),110,59,/app/playlists/reports/Mariage_110_titres_duplicates.csv
Matin good vibes (100 titres),100,85,/app/playlists/reports/Matin_good_vibes_100_titres_duplicates.csv
Mes favoris (101 titres),101,65,/app/playlists/reports/Mes_favoris_101_titres_duplicates.csv
Mes titres Shazam ok (89 titres),89,0,/app/playlists/reports/Mes_titres_Shazam_ok_89_titres_duplicates.csv
Mix concentration (45 titres),45,25,/app/playlists/reports/Mix_concentration_45_titres_duplicates.csv
Mix humeur deep focus (140 titres),140,40,/app/playlists/reports/Mix_humeur_deep_focus_140_titres_duplicates.csv
Mix humeur happy (120 titres),120,24,/app/playlists/reports/Mix_humeur_happy_120_titres_duplicates.csv
Mix humeur intense (120 titres),120,34,/app/playlists/reports/Mix_humeur_intense_120_titres_duplicates.csv
Mix humeur sad (120 titres),120,34,/app/playlists/reports/Mix_humeur_sad_120_titres_duplicates.csv
Mix humeur sensuel (100 titres),100,50,/app/playlists/reports/Mix_humeur_sensuel_100_titres_duplicates.csv
Mix humeur sleep (140 titres),140,61,/app/playlists/reports/Mix_humeur_sleep_140_titres_duplicates.csv
Mix énergique (50 titres),50,17,/app/playlists/reports/Mix_nergique_50_titres_duplicates.csv
Mojito sunset (187 titres),187,0,/app/playlists/reports/Mojito_sunset_187_titres_duplicates.csv
Mojito sunset (31 titres),31,12,/app/playlists/reports/Mojito_sunset_31_titres_duplicates.csv
Mojito sunset (58 titres),58,31,/app/playlists/reports/Mojito_sunset_58_titres_duplicates.csv
Mystique & Spirituel (329 titres),329,164,/app/playlists/reports/Mystique__Spirituel_329_titres_duplicates.csv
Mélancolie (500 titres),500,252,/app/playlists/reports/Mlancolie_500_titres_duplicates.csv
Ménage boost (120 titres),120,96,/app/playlists/reports/Mnage_boost_120_titres_duplicates.csv
Nostalgie (500 titres),500,221,/app/playlists/reports/Nostalgie_500_titres_duplicates.csv
Nuit Profonde (500 titres),500,308,/app/playlists/reports/Nuit_Profonde_500_titres_duplicates.csv
Nuit calme (100 titres),100,40,/app/playlists/reports/Nuit_calme_100_titres_duplicates.csv
Pluie & Mélancolie (500 titres),500,358,/app/playlists/reports/Pluie__Mlancolie_500_titres_duplicates.csv
Pluie du soir (30 titres),30,21,/app/playlists/reports/Pluie_du_soir_30_titres_duplicates.csv
Pool party (120 titres),120,34,/app/playlists/reports/Pool_party_120_titres_duplicates.csv
Pop FR (10 titres),10,2,/app/playlists/reports/Pop_FR_10_titres_duplicates.csv
Pop US/UK (500 titres),500,276,/app/playlists/reports/Pop_USUK_500_titres_duplicates.csv
Printemps Frais (500 titres),500,236,/app/playlists/reports/Printemps_Frais_500_titres_duplicates.csv
Punk & Garage (193 titres),193,63,/app/playlists/reports/Punk__Garage_193_titres_duplicates.csv
R&B (500 titres),500,273,/app/playlists/reports/RB_500_titres_duplicates.csv
Rage & Énergie (292 titres),292,95,/app/playlists/reports/Rage__nergie_292_titres_duplicates.csv
Rap & Hip-Hop (500 titres),500,216,/app/playlists/reports/Rap__Hip-Hop_500_titres_duplicates.csv
